year,category,film,name,result,gender,birthday
1930,Actor,In Old Arizona,Warner Baxter,Winner,Male,1889
1930,Actor,Thunderbolt,George Bancroft,Nominee,Male,1882
1930,Actor,Alibi,Chester Morris,Nominee,Male,1901
1930,Actor,The Valiant,Paul Muni,Nominee,Male,1895
1930,Actor,The Patriot,Lewis Stone,Nominee,Male,1879
1930,Actress,Coquette,Mary Pickford,Winner,Female,1892
1930,Actress,Madame X,Ruth Chatterton,Nominee,Female,1892
1930,Actress,The Barker,Betty Compson,Nominee,Female,1897
1930,Actress,The Letter,Jeanne Eagels,Nominee,Female,1890
1930,Actress,The Divine Lady,Corinne Griffith,Nominee,Female,1894
1930,Actress,The Broadway Melody,Bessie Love,Nominee,Female,1898
1930,Directing,The Divine Lady,Frank Lloyd,Winner,Male,1886
1930,Directing,Madame X,Lionel Barrymore,Nominee,Male,1878
1930,Directing,The Broadway Melody,Harry Beaumont,Nominee,Male,1888
1930,Directing,In Old Arizona,Irving Cummings,Nominee,Male,1888
1930,Directing,Drag,Frank Lloyd,Nominee,Male,1886
1930,Directing,Weary River,Frank Lloyd,Nominee,Male,1886
1930,Directing,The Patriot,Ernst Lubitsch,Nominee,Male,1892
1931,Actor,Disraeli,George Arliss,Winner,Male,1868
1931,Actor,The Green Goddess,George Arliss,Nominee,Male,1868
1931,Actor,The Big House,Wallace Beery,Nominee,Male,1885
1931,Actor,The Big Pond,Maurice Chevalier,Nominee,Male,1888
1931,Actor,The Love Parade,Maurice Chevalier,Nominee,Male,1888
1931,Actor,Bulldog Drummond,Ronald Colman,Nominee,Male,1891
1931,Actor,Condemned,Ronald Colman,Nominee,Male,1891
1931,Actor,The Rogue Song,Lawrence Tibbett,Nominee,Male,1896
1931,Actress,The Divorcee,Norma Shearer,Winner,Female,1902
1931,Actress,The Devil's Holiday,Nancy Carroll,Nominee,Female,1903
1931,Actress,Sarah and Son,Ruth Chatterton,Nominee,Female,1892
1931,Actress,Anna Christie,Greta Garbo,Nominee,Female,1905
1931,Actress,Romance,Greta Garbo,Nominee,Female,1905
1931,Actress,Their Own Desire,Norma Shearer,Nominee,Female,1902
1931,Actress,The Trespasser,Gloria Swanson,Nominee,Female,1899
1931,Directing,All Quiet on the Western Front,Lewis Milestone,Winner,Male,1895
1931,Directing,Anna Christie,Clarence Brown,Nominee,Male,1890
1931,Directing,Romance,Clarence Brown,Nominee,Male,1890
1931,Directing,The Divorcee,Robert Z. Leonard,Nominee,Male,1889
1931,Directing,The Love Parade,Ernst Lubitsch,Nominee,Male,1892
1931,Directing,Hallelujah,King Vidor,Nominee,Male,1894
1932,Actor,A Free Soul,Lionel Barrymore,Winner,Male,1878
1932,Actor,Skippy,Jackie Cooper,Nominee,Male,1922
1932,Actor,Cimarron,Richard Dix,Nominee,Male,1893
1932,Actor,The Royal Family of Broadway,Fredric March,Nominee,Male,1897
1932,Actor,The Front Page,Adolphe Menjou,Nominee,Male,1890
1932,Actress,Min and Bill,Marie Dressler,Winner,Female,1868
1932,Actress,Morocco,Marlene Dietrich,Nominee,Female,1901
1932,Actress,Cimarron,Irene Dunne,Nominee,Female,1898
1932,Actress,Holiday,Ann Harding,Nominee,Female,1901
