year category name film result
1930 "Outstanding Picture" "The Broadway Melody" Metro-Goldwyn-Mayer Winner
1930 "Outstanding Picture" Alibi "Feature Productions" Nominee
1930 "Outstanding Picture" "In Old Arizona" Fox Nominee
1930 "Outstanding Picture" "Hollywood Revue" Metro-Goldwyn-Mayer Nominee
1930 "Outstanding Picture" "The Patriot" "Paramount Famous Lasky" Nominee
1931 "Outstanding Production" "All Quiet on the Western Front" Universal Winner
1931 "Outstanding Production" "The Big House" Cosmopolitan Nominee
1931 "Outstanding Production" Disraeli "Warner Bros." Nominee
1931 "Outstanding Production" "The Divorcee" Metro-Goldwyn-Mayer Nominee
1931 "Outstanding Production" "The Love Parade" "Paramount Famous Lasky" Nominee
1932 "Outstanding Production" Cimarron "RKO Radio" Winner
1932 "Outstanding Production" "East Lynne" Fox Nominee
1932 "Outstanding Production" "The Front Page" "The Caddo Company" Nominee
1932 "Outstanding Production" Skippy "Paramount Publix" Nominee
1932 "Outstanding Production" "Trader Horn" Metro-Goldwyn-Mayer Nominee
1933 "Outstanding Production" "Grand Hotel" Metro-Goldwyn-Mayer Winner
1933 "Outstanding Production" Arrowsmith "Samuel Goldwyn Productions" Nominee
1933 "Outstanding Production" "Bad Girl" Fox Nominee
1933 "Outstanding Production" "The Champ" Metro-Goldwyn-Mayer Nominee
1933 "Outstanding Production" "Five Star Final" "First National" Nominee
1933 "Outstanding Production" "One Hour with You" "Paramount Publix" Nominee
1933 "Outstanding Production" "Shanghai Express" "Paramount Publix" Nominee
1933 "Outstanding Production" "The Smiling Lieutenant" "Paramount Publix" Nominee
1934 "Outstanding Production" Cavalcade Fox Winner
1934 "Outstanding Production" "A Farewell to Arms" Paramount Nominee
1934 "Outstanding Production" "42nd Street" "Warner Bros." Nominee
1934 "Outstanding Production" "I Am a Fugitive from a Chain Gang" "Warner Bros." Nominee
1934 "Outstanding Production" "Lady for a Day" Columbia Nominee
1934 "Outstanding Production" "Little Women" "RKO Radio" Nominee
1934 "Outstanding Production" "The Private Life of Henry VIII" "London Films" Nominee
1934 "Outstanding Production" "She Done Him Wrong" Paramount Nominee
1934 "Outstanding Production" "Smilin' Through" Metro-Goldwyn-Mayer Nominee
1934 "Outstanding Production" "State Fair" Fox Nominee
1935 "Outstanding Production" "It Happened One Night" Columbia Winner
1935 "Outstanding Production" "The Barretts of Wimpole Street" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" Cleopatra Paramount Nominee
1935 "Outstanding Production" "Flirtation Walk" "First National" Nominee
1935 "Outstanding Production" "The Gay Divorcee" "RKO Radio" Nominee
1935 "Outstanding Production" "Here Comes the Navy" "Warner Bros." Nominee
1935 "Outstanding Production" "The House of Rothschild" "20th Century" Nominee
1935 "Outstanding Production" "Imitation of Life" Universal Nominee
1935 "Outstanding Production" "One Night of Love" Columbia Nominee
1935 "Outstanding Production" "The Thin Man" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "Viva Villa!" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "The White Parade" "Jesse L. Lasky (production company)" Nominee
1936 "Outstanding Production" "Mutiny on the Bounty" Metro-Goldwyn-Mayer Winner
1936 "Outstanding Production" "Alice Adams" "RKO Radio" Nominee
1936 "Outstanding Production" "Broadway Melody of 1936" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Captain Blood" Cosmopolitan Nominee
1936 "Outstanding Production" "David Copperfield" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "The Informer" "RKO Radio" Nominee
1936 "Outstanding Production" "Les Miserables" "20th Century" Nominee
1936 "Outstanding Production" "The Lives of a Bengal Lancer" Paramount Nominee
