year,category,film,name,result,gender,birthday,genreids,original_language
1983,Actor in a Leading Role,Gandhi,Ben Kingsley,Winner,Male,1943,,
1983,Actor in a Leading Role,Tootsie,Dustin Hoffman,Nominee,Male,1937,,
1983,Actor in a Leading Role,Missing,Jack Lemmon,Nominee,Male,1925,,
1983,Actor in a Leading Role,The Verdict,Paul Newman,Nominee,Male,1925,,
1983,Actor in a Leading Role,My Favorite Year,Peter O'Toole,Nominee,Male,1932,,
1984,Actor in a Leading Role,Tender Mercies,Robert Duvall,Winner,Male,1931,,
1984,Actor in a Leading Role,Educating Rita,Michael Caine,Nominee,Male,1933,,
1984,Actor in a Leading Role,"Reuben, Reuben",Tom Conti,Nominee,Male,1941,,
1984,Actor in a Leading Role,The Dresser,Tom Courtenay,Nominee,Male,1937,,
1984,Actor in a Leading Role,The Dresser,Albert Finney,Nominee,Male,1936,,
1985,Actor in a Leading Role,Amadeus,F. Murray Abraham,Winner,Male,1939,,
1985,Actor in a Leading Role,Starman,Jeff Bridges,Nominee,Male,1949,,
1985,Actor in a Leading Role,Under the Volcano,Albert Finney,Nominee,Male,1936,,
1985,Actor in a Leading Role,Amadeus,Tom Hulce,Nominee,Male,1953,,
1985,Actor in a Leading Role,The Killing Fields,Sam Waterston,Nominee,Male,1940,,
1986,Actor in a Leading Role,Kiss of the Spider Woman,William Hurt,Winner,Male,1950,,
1986,Actor in a Leading Role,Witness,Harrison Ford,Nominee,Male,1942,,
1986,Actor in a Leading Role,Murphy's Romance,James Garner,Nominee,Male,1928,,
1986,Actor in a Leading Role,Prizzi's Honor,Jack Nicholson,Nominee,Male,1937,,
1986,Actor in a Leading Role,Runaway Train,Jon Voight,Nominee,Male,1938,,
1987,Actor in a Leading Role,The Color of Money,Paul Newman,Winner,Male,1925,,
1987,Actor in a Leading Role,'Round Midnight,Dexter Gordon,Nominee,Male,1923,,
1987,Actor in a Leading Role,Mona Lisa,Bob Hoskins,Nominee,Male,1942,,
1987,Actor in a Leading Role,Children of a Lesser God,William Hurt,Nominee,Male,1950,,
1987,Actor in a Leading Role,Salvador,James Woods,Nominee,Male,1947,,
1988,Actor in a Leading Role,Wall Street,Michael Douglas,Winner,Male,1944,,
1988,Actor in a Leading Role,Broadcast News,William Hurt,Nominee,Male,1950,,
1988,Actor in a Leading Role,Dark Eyes,Marcello Mastroianni,Nominee,Male,1924,,
1988,Actor in a Leading Role,Ironweed,Jack Nicholson,Nominee,Male,1937,,
1988,Actor in a Leading Role,"Good Morning, Vietnam",Robin Williams,Nominee,Male,1951,,
1989,Actor in a Leading Role,Rain Man,Dustin Hoffman,Winner,Male,1937,,
1989,Actor in a Leading Role,Mississippi Burning,Gene Hackman,Nominee,Male,1930,,
1989,Actor in a Leading Role,Big,Tom Hanks,Nominee,Male,1956,,
1989,Actor in a Leading Role,Stand and Deliver,Edward James Olmos,Nominee,Male,1947,,
