year category name film result
1930 Actor "Warner Baxter" "In Old Arizona" Winner
1930 Actor "George Bancroft" Thunderbolt Nominee
1930 Actor "Chester Morris" Alibi Nominee
1930 Actor "Paul Muni" "The Valiant" Nominee
1930 Actor "Lewis Stone" "The Patriot" Nominee
1930 Actress "Mary Pickford" Coquette Winner
1930 Actress "Ruth Chatterton" "Madame X" Nominee
1930 Actress "Betty Compson" "The Barker" Nominee
1930 Actress "Jeanne Eagels" "The Letter" Nominee
1930 Actress "Corinne Griffith" "The Divine Lady" Nominee
1930 Actress "Bessie Love" "The Broadway Melody" Nominee
1930 Directing "Frank Lloyd" "The Divine Lady" Winner
1930 Directing "Lionel Barrymore" "Madame X" Nominee
1930 Directing "Harry Beaumont" "The Broadway Melody" Nominee
1930 Directing "Irving Cummings" "In Old Arizona" Nominee
1930 Directing "Frank Lloyd" Drag Nominee
1930 Directing "Frank Lloyd" "Weary River" Nominee
1930 Directing "Ernst Lubitsch" "The Patriot" Nominee
1930 "Outstanding Picture" "The Broadway Melody" Metro-Goldwyn-Mayer Winner
1930 "Outstanding Picture" Alibi "Feature Productions" Nominee
1930 "Outstanding Picture" "In Old Arizona" Fox Nominee
1930 "Outstanding Picture" "Hollywood Revue" Metro-Goldwyn-Mayer Nominee
1930 "Outstanding Picture" "The Patriot" "Paramount Famous Lasky" Nominee
1931 Actor "George Arliss" Disraeli Winner
1931 Actor "George Arliss" "The Green Goddess" Nominee
1931 Actor "Wallace Beery" "The Big House" Nominee
1931 Actor "Maurice Chevalier" "The Big Pond" Nominee
1931 Actor "Maurice Chevalier" "The Love Parade" Nominee
1931 Actor "Ronald Colman" "Bulldog Drummond" Nominee
1931 Actor "Ronald Colman" Condemned Nominee
1931 Actor "Lawrence Tibbett" "The Rogue Song" Nominee
1931 Actress "Norma Shearer" "The Divorcee" Winner
1931 Actress "Nancy Carroll" "The Devil's Holiday" Nominee
1931 Actress "Ruth Chatterton" "Sarah and Son" Nominee
1931 Actress "Greta Garbo" "Anna Christie" Nominee
1931 Actress "Greta Garbo" Romance Nominee
1931 Actress "Norma Shearer" "Their Own Desire" Nominee
1931 Actress "Gloria Swanson" "The Trespasser" Nominee
1931 Directing "Lewis Milestone" "All Quiet on the Western Front" Winner
1931 Directing "Clarence Brown" "Anna Christie" Nominee
1931 Directing "Clarence Brown" Romance Nominee
1931 Directing "Robert Leonard" "The Divorcee" Nominee
1931 Directing "Ernst Lubitsch" "The Love Parade" Nominee
1931 Directing "King Vidor" Hallelujah Nominee
1931 "Outstanding Production" "All Quiet on the Western Front" Universal Winner
1931 "Outstanding Production" "The Big House" Cosmopolitan Nominee
1931 "Outstanding Production" Disraeli "Warner Bros." Nominee
1931 "Outstanding Production" "The Divorcee" Metro-Goldwyn-Mayer Nominee
1931 "Outstanding Production" "The Love Parade" "Paramount Famous Lasky" Nominee
1932 Actor "Lionel Barrymore" "A Free Soul" Winner
1932 Actor "Jackie Cooper" Skippy Nominee
1932 Actor "Richard Dix" Cimarron Nominee
1932 Actor "Fredric March" "The Royal Family of Broadway" Nominee
1932 Actor "Adolphe Menjou" "The Front Page" Nominee
1932 Actress "Marie Dressler" "Min and Bill" Winner
1932 Actress "Marlene Dietrich" Morocco Nominee
1932 Actress "Irene Dunne" Cimarron Nominee
1932 Actress "Ann Harding" Holiday Nominee
1932 Actress "Norma Shearer" "A Free Soul" Nominee
1932 Directing "Norman Taurog" Skippy Winner
1932 Directing "Wesley Ruggles" Cimarron Nominee
1932 Directing "Clarence Brown" "A Free Soul" Nominee
1932 Directing "Lewis Milestone" "The Front Page" Nominee
1932 Directing "Josef Von Sternberg" Morocco Nominee
1932 "Outstanding Production" Cimarron "RKO Radio" Winner
1932 "Outstanding Production" "East Lynne" Fox Nominee
1932 "Outstanding Production" "The Front Page" "The Caddo Company" Nominee
1932 "Outstanding Production" Skippy "Paramount Publix" Nominee
1932 "Outstanding Production" "Trader Horn" Metro-Goldwyn-Mayer Nominee
1933 Actor "Wallace Beery" "The Champ" Tie-winner
1933 Actor "Fredric March" "The Champ" Tie-winner
1933 Actor "Alfred Lunt" "The Guardsman" Nominee
1933 Actress "Helen Hayes" "The Sin of Madelon Claudet" Winner
1933 Actress "Marie Dressler" Emma Nominee
1933 Actress "Lynn Fontanne" "The Guardsman" Nominee
1933 Directing "Frank Borzage" "Bad Girl" Winner
1933 Directing "King Vidor" "The Champ" Nominee
1933 Directing "Josef Von Sternberg" "Shanghai Express" Nominee
1933 "Outstanding Production" "Grand Hotel" Metro-Goldwyn-Mayer Winner
1933 "Outstanding Production" Arrowsmith "Samuel Goldwyn Productions" Nominee
1933 "Outstanding Production" "Bad Girl" Fox Nominee
1933 "Outstanding Production" "The Champ" Metro-Goldwyn-Mayer Nominee
1933 "Outstanding Production" "Five Star Final" "First National" Nominee
1933 "Outstanding Production" "One Hour with You" "Paramount Publix" Nominee
1933 "Outstanding Production" "Shanghai Express" "Paramount Publix" Nominee
1933 "Outstanding Production" "The Smiling Lieutenant" "Paramount Publix" Nominee
1934 Actor "Charles Laughton" "The Private Life of Henry VIII" Winner
1934 Actor "Leslie Howard" "Berkeley Square" Nominee
1934 Actor "Paul Muni" "I Am a Fugitive from a Chain Gang" Nominee
1934 Actress "Katharine Hepburn" "Morning Glory" Winner
1934 Actress "May Robson" "Lady for a Day" Nominee
1934 Actress "Diana Wynyard" Cavalcade Nominee
1934 Directing "Frank Lloyd" Cavalcade Winner
1934 Directing "Frank Capra" "Lady for a Day" Nominee
1934 Directing "George Cukor" "Little Women" Nominee
1934 "Outstanding Production" Cavalcade Fox Winner
1934 "Outstanding Production" "A Farewell to Arms" Paramount Nominee
1934 "Outstanding Production" "42nd Street" "Warner Bros." Nominee
1934 "Outstanding Production" "I Am a Fugitive from a Chain Gang" "Warner Bros." Nominee
1934 "Outstanding Production" "Lady for a Day" Columbia Nominee
1934 "Outstanding Production" "Little Women" "RKO Radio" Nominee
1934 "Outstanding Production" "The Private Life of Henry VIII" "London Films" Nominee
1934 "Outstanding Production" "She Done Him Wrong" Paramount Nominee
1934 "Outstanding Production" "Smilin' Through" Metro-Goldwyn-Mayer Nominee
1934 "Outstanding Production" "State Fair" Fox Nominee
1935 Actor "Clark Gable" "It Happened One Night" Winner
1935 Actor "Frank Morgan" "The Affairs of Cellini" Nominee
1935 Actor "William Powell" "The Thin Man" Nominee
1935 Actress "Claudette Colbert" "It Happened One Night" Winner
1935 Actress "Bette Davis" "Of Human Bondage" Nominee
1935 Actress "Grace Moore" "One Night of Love" Nominee
1935 Actress "Norma Shearer" "The Barretts of Wimpole Street" Nominee
1935 Directing "Frank Capra" "It Happened One Night" Winner
1935 Directing "Victor Schertzinger" "One Night of Love" Nominee
1935 Directing "W. S. Van Dyke" "The Thin Man" Nominee
1935 "Outstanding Production" "It Happened One Night" Columbia Winner
1935 "Outstanding Production" "The Barretts of Wimpole Street" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" Cleopatra Paramount Nominee
1935 "Outstanding Production" "Flirtation Walk" "First National" Nominee
1935 "Outstanding Production" "The Gay Divorcee" "RKO Radio" Nominee
1935 "Outstanding Production" "Here Comes the Navy" "Warner Bros." Nominee
1935 "Outstanding Production" "The House of Rothschild" "20th Century" Nominee
1935 "Outstanding Production" "Imitation of Life" Universal Nominee
1935 "Outstanding Production" "One Night of Love" Columbia Nominee
1935 "Outstanding Production" "The Thin Man" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "Viva Villa!" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "The White Parade" "Jesse L. Lasky (production company)" Nominee
1936 Actor "Victor McLaglen" "The Informer" Winner
1936 Actor "Clark Gable" "Mutiny on the Bounty" Nominee
1936 Actor "Charles Laughton" "Mutiny on the Bounty" Nominee
1936 Actor "Paul Muni" "Black Fury" Nominee
1936 Actor "Franchot Tone" "Mutiny on the Bounty" Nominee
1936 Actress "Bette Davis" Dangerous Winner
1936 Actress "Elisabeth Bergner" "Escape Me Never" Nominee
1936 Actress "Claudette Colbert" "Private Worlds" Nominee
1936 Actress "Katharine Hepburn" "Alice Adams" Nominee
1936 Actress "Miriam Hopkins" "Becky Sharp" Nominee
1936 Actress "Merle Oberon" "The Dark Angel" Nominee
1936 Directing "John Ford" "The Informer" Winner
1936 Directing "Michael Curtiz" "Captain Blood" Nominee
1936 Directing "Henry Hathaway" "The Lives of a Bengal Lancer" Nominee
1936 Directing "Frank Lloyd" "Mutiny on the Bounty" Nominee
1936 "Outstanding Production" "Mutiny on the Bounty" Metro-Goldwyn-Mayer Winner
1936 "Outstanding Production" "Alice Adams" "RKO Radio" Nominee
1936 "Outstanding Production" "Broadway Melody of 1936" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Captain Blood" Cosmopolitan Nominee
1936 "Outstanding Production" "David Copperfield" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "The Informer" "RKO Radio" Nominee
1936 "Outstanding Production" "Les Miserables" "20th Century" Nominee
1936 "Outstanding Production" "The Lives of a Bengal Lancer" Paramount Nominee
1936 "Outstanding Production" "A Midsummer Night's Dream" "Warner Bros." Nominee
1936 "Outstanding Production" "Naughty Marietta" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Ruggles of Red Gap" Paramount Nominee
1936 "Outstanding Production" "Top Hat" "RKO Radio" Nominee
1937 Actor "Paul Muni" "The Story of Louis Pasteur" Winner
1937 Actor "Gary Cooper" "Mr. Deeds Goes to Town" Nominee
1937 Actor "Walter Huston" Dodsworth Nominee
1937 Actor "William Powell" "My Man Godfrey" Nominee
1937 Actor "Spencer Tracy" "San Francisco" Nominee
1937 Actress "Luise Rainer" "The Great Ziegfeld" Winner
1937 Actress "Irene Dunne" "Theodora Goes Wild" Nominee
1937 Actress "Gladys George" "Valiant Is the Word for Carrie" Nominee
1937 Actress "Carole Lombard" "My Man Godfrey" Nominee
1937 Actress "Norma Shearer" "Romeo and Juliet" Nominee
1937 Directing "Frank Capra" "Mr. Deeds Goes to Town" Winner
1937 Directing "William Wyler" Dodsworth Nominee
1937 Directing "Robert Z. Leonard" "The Great Ziegfeld" Nominee
1937 Directing "Gregory La Cava" "My Man Godfrey" Nominee
1937 Directing "W. S. Van Dyke" "San Francisco" Nominee
1937 "Outstanding Production" "The Great Ziegfeld" Metro-Goldwyn-Mayer Winner
1937 "Outstanding Production" "Anthony Adverse" "Warner Bros." Nominee
1937 "Outstanding Production" Dodsworth "Samuel Goldwyn Productions" Nominee
1937 "Outstanding Production" "Libeled Lady" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Mr. Deeds Goes to Town" Columbia Nominee
1937 "Outstanding Production" "Romeo and Juliet" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "San Francisco" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "The Story of Louis Pasteur" Cosmopolitan Nominee
1937 "Outstanding Production" "A Tale of Two Cities" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Three Smart Girls" Universal Nominee
1938 Actor "Spencer Tracy" "Captains Courageous" Winner
1938 Actor "Charles Boyer" Conquest Nominee
1938 Actor "Fredric March" "A Star Is Born" Nominee
1938 Actor "Robert Montgomery" "Night Must Fall" Nominee
1938 Actor "Paul Muni" "The Life of Emile Zola" Nominee
1938 Actress "Luise Rainer" "The Good Earth" Winner
1938 Actress "Irene Dunne" "The Awful Truth" Nominee
1938 Actress "Greta Garbo" Camille Nominee
1938 Actress "Janet Gaynor" "A Star Is Born" Nominee
1938 Actress "Barbara Stanwyck" "Stella Dallas" Nominee
1938 Directing "Leo McCarey" "The Awful Truth" Winner
1938 Directing "Sidney Franklin" "The Good Earth" Nominee
1938 Directing "William Dieterle" "The Life of Emile Zola" Nominee
1938 Directing "Gregory La Cava" "Stage Door" Nominee
1938 Directing "William Wellman" "A Star Is Born" Nominee
1938 "Outstanding Production" "The Life of Emile Zola" "Warner Bros." Winner
1938 "Outstanding Production" "The Awful Truth" Columbia Nominee
1938 "Outstanding Production" "Captains Courageous" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "Dead End" "Samuel Goldwyn Productions" Nominee
1938 "Outstanding Production" "The Good Earth" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "In Old Chicago" "20th Century-Fox" Nominee
1938 "Outstanding Production" "Lost Horizon" Columbia Nominee
1938 "Outstanding Production" "One Hundred Men and a Girl" Universal Nominee
1938 "Outstanding Production" "Stage Door" "RKO Radio" Nominee
1938 "Outstanding Production" "A Star Is Born" "Selznick International Pictures" Nominee
1939 Actor "Spencer Tracy" "Boys Town" Winner
1939 Actor "Charles Boyer" Algiers Nominee
1939 Actor "James Cagney" "Angels with Dirty Faces" Nominee
1939 Actor "Robert Donat" "The Citadel" Nominee
1939 Actor "Leslie Howard" Pygmalion Nominee
1939 Actress "Bette Davis" Jezebel Winner
1939 Actress "Fay Bainter" "White Banners" Nominee
1939 Actress "Wendy Hiller" Pygmalion Nominee
1939 Actress "Norma Shearer" "Marie Antoinette" Nominee
1939 Actress "Margaret Sullavan" "Three Comrades" Nominee
1939 Directing "Frank Capra" "You Can't Take It with You" Winner
1939 Directing "Michael Curtiz" "Angels with Dirty Faces" Nominee
1939 Directing "Norman Taurog" "Boys Town" Nominee
1939 Directing "King Vidor" "The Citadel" Nominee
1939 Directing "Michael Curtiz" "Four Daughters" Nominee
1939 "Outstanding Production" "You Can't Take It with You" Columbia Winner
1939 "Outstanding Production" "The Adventures of Robin Hood" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Alexander's Ragtime Band" "20th Century-Fox" Nominee
1939 "Outstanding Production" "Boys Town" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "The Citadel" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Four Daughters" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Grand Illusion" "Realization D'Art Cinematographique" Nominee
1939 "Outstanding Production" Jezebel "Warner Bros." Nominee
1939 "Outstanding Production" Pygmalion Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Test Pilot" Metro-Goldwyn-Mayer Nominee
1940 Actor "Robert Donat" "Goodbye, Mr. Chips" Winner
1940 Actor "Clark Gable" "Gone with the Wind" Nominee
1940 Actor "Laurence Olivier" "Wuthering Heights" Nominee
1940 Actor "Mickey Rooney" "Babes in Arms" Nominee
1940 Actor "James Stewart" "Mr. Smith Goes to Washington" Nominee
1940 Actress "Vivien Leigh" "Gone with the Wind" Winner
1940 Actress "Bette Davis" "Dark Victory" Nominee
1940 Actress "Irene Dunne" "Love Affair" Nominee
1940 Actress "Greta Garbo" Ninotchka Nominee
1940 Actress "Greer Garson" "Goodbye, Mr. Chips" Nominee
1940 Directing "Victor Fleming" "Gone with the Wind" Winner
1940 Directing "Sam Wood" "Goodbye, Mr. Chips" Nominee
1940 Directing "Frank Capra" "Mr. Smith Goes to Washington" Nominee
1940 Directing "John Ford" Stagecoach Nominee
1940 Directing "William Wyler" "Wuthering Heights" Nominee
1940 "Outstanding Production" "Gone with the Wind" "Selznick International Pictures" Winner
1940 "Outstanding Production" "Dark Victory" "Warner Bros.-First National" Nominee
1940 "Outstanding Production" "Goodbye, Mr. Chips" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Love Affair" "RKO Radio" Nominee
1940 "Outstanding Production" "Mr. Smith Goes to Washington" Columbia Nominee
1940 "Outstanding Production" Ninotchka Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Of Mice and Men" "Hal Roach (production company)" Nominee
1940 "Outstanding Production" Stagecoach "Walter Wanger (production company)" Nominee
